"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2642","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"2643","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae",NA,NA
"2644","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae","Mycoplasma",NA
"2645","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"2646","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"2647","Bacteria","Proteobacteria","Gammaproteobacteria","Beggiatoales","Beggiatoaceae","Candidatus Marithrix",NA
"2648","Bacteria","Bacteroidota","Bacteroidia","Bacteroidetes VC2.1 Bac22",NA,NA,NA
"2649","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Schleiferiaceae","Schleiferia",NA
"2650","Bacteria","Planctomycetota","OM190",NA,NA,NA,NA
"2651","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae",NA,NA
"2652","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Kangiellaceae",NA,NA
"2653","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA,NA
"2654","Bacteria",NA,NA,NA,NA,NA,NA
"2655","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"2656","Bacteria","Patescibacteria","Parcubacteria","Candidatus Moranbacteria",NA,NA,NA
"2657","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales",NA,NA,NA
"2658","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)",NA,NA,NA
"2659","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Marine Methylotrophic Group 3",NA
"2660","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae",NA,NA
